movie name,year,IMDB rating,votes,genre,movie gross,runtime
Mr. Smith Goes to Washington,1939,8.1,114165,Comedy,9600000,129
The Gold Rush,1925,8.2,109566,Adventure,5450000,95
It Happened One Night,1934,8.1,102052,Comedy,4360000,105
The Grapes of Wrath,1940,8.1,91454,Drama,55000,129
The General,1926,8.2,89713,Action,1033895,67
Capernaum,2018,8.4,84208,Drama,1661096,126
Ikiru,1952,8.3,76561,Drama,55240,143
Children of Heaven,1997,8.2,73376,Drama,933933,89
The Best Years of Our Lives,1946,8.1,62962,Drama,23650000,170
The Battle of Algiers,1966,8.1,58945,Drama,55908,121
The Passion of Joan of Arc,1928,8.2,53429,Biography,21877,114
Sherlock Jr.,1924,8.2,48379,Action,977375,45
Rififi,1955,8.1,33747,Crime,57226,118
Pather Panchali,1955,8.3,31289,Drama,536364,125
